pt range	EWK-ff	ZA-ff	Uncertainty
20<pt<25	0.409959	0.399814	0.00410757
25<pt<30	0.371436	0.370626	0.000300535
30<pt<40	0.349007	0.346316	0.000935557
40<pt<50	0.274769	0.265405	0.00252909
50<pt<70	0.222204	0.205075	0.00365943
70<pt<100	0.138413	0.131841	0.000888055
100<pt<120	0.070983	0.0676519	0.000230903
120<pt<400	0.120785	0.11162 	0.001065
