pt	closure		sideband	template	total
20~25	0.19		0.08		0.01		0.20
25~30	0.04		0.10		0.01		0.11
30~35	0.04		0.15		0.01		0.15
35~40	0.15		0.13		0.01		0.20
40~50	0.22		0.03		0.10		0.24
50~65	0.26		0.04		0.04		0.26
65~100	0.26		0.08		0.05		0.27
100~125	0.26		0.17		0.01		0.31
125~400	0.26		0.01		0.00		0.26
