pt range	chiso range	FakeNumber	fitFake_number	closure uncertainty
20<pt<25	3<chiso range<8	87.00	87.54	0.01
25<pt<30	3<chiso range<8	44.07	36.13	0.18
30<pt<35	3<chiso range<8	35.62	35.59	0.00
35<pt<40	3<chiso range<8	35.62	35.59	0.00
40<pt<50	3<chiso range<8	14.17	12.60	0.11
50<pt<65	3<chiso range<8	9.33	7.59	0.19
65<pt<100	3<chiso range<8	6.20	5.23	0.16
100<pt<400	3<chiso range<8	6.20	5.23	0.16
