25~30: Fake Rate0.613278+-0.00699999	 window fake rate 0.42847+-0.0107456
30~35: Fake Rate0.480429+-0.0087808	 window fake rate 0.311449+-0.0125623
35~40: Fake Rate0.412397+-0.00893121	 window fake rate 0.26045+-0.0129944
40~45: Fake Rate0.357372+-0.00974843	 window fake rate 0.21352+-0.0147231
45~50: Fake Rate0.34997+-0.0115377	 window fake rate 0.205315+-0.0176734
50~60: Fake Rate0.306804+-0.00942174	 window fake rate 0.166319+-0.0151345
60~80: Fake Rate0.244032+-0.00817788	 window fake rate 0.147199+-0.0125406
80~120: Fake Rate0.198557+-0.00838354	 window fake rate 0.105502+-0.0143844
120~400: Fake Rate0.127409+-0.00846963	 window fake rate 0.0609433+-0.0179444
