25~30: Fake Rate0.545461+-0.015879	 window fake rate 0.390369+-0.0235955
30~35: Fake Rate0.357698+-0.0154706	 window fake rate 0.19108+-0.0210282
35~40: Fake Rate0.352884+-0.0239677	 window fake rate 0.219157+-0.0307076
40~45: Fake Rate0.284985+-0.0225587	 window fake rate 0.154034+-0.0287048
45~50: Fake Rate0.294001+-0.032201	 window fake rate 0.16582+-0.0404832
50~60: Fake Rate0.260883+-0.0343823	 window fake rate 0.137437+-0.0422804
60~80: Fake Rate0.157505+-0.0165477	 window fake rate 0.0458702+-0.0215088
80~120: Fake Rate0.137453+-0.0184268	 window fake rate 0.0351006+-0.0242524
120~400: Fake Rate0.0794823+-0.0187219	 window fake rate 0.00834966+-0.0263049
