25~30: Fake Rate0.538784+-0.0158562	 window fake rate 0.318377+-0.0236886
30~35: Fake Rate0.349038+-0.0148328	 window fake rate 0.137324+-0.0205319
35~40: Fake Rate0.345168+-0.0221013	 window fake rate 0.17583+-0.0287497
40~45: Fake Rate0.277678+-0.0220353	 window fake rate 0.11599+-0.0286583
45~50: Fake Rate0.284615+-0.031767	 window fake rate 0.125419+-0.0405658
50~60: Fake Rate0.247219+-0.0355043	 window fake rate 0.0946569+-0.0440679
60~80: Fake Rate0.150389+-0.0152857	 window fake rate 0.0375365+-0.0202346
80~120: Fake Rate0.131501+-0.0177641	 window fake rate 0.028244+-0.0236385
120~400: Fake Rate0.0718149+-0.0179812	 window fake rate -6.27895e-05+-0.0257856
