25~30: Fake Rate0.545461+-0.015879	 window fake rate 0.328244+-0.0237146
30~35: Fake Rate0.357698+-0.0154706	 window fake rate 0.1488+-0.0213208
35~40: Fake Rate0.352884+-0.0239677	 window fake rate 0.185539+-0.0310084
40~45: Fake Rate0.284985+-0.0225587	 window fake rate 0.124934+-0.0292294
45~50: Fake Rate0.294001+-0.032201	 window fake rate 0.13689+-0.0410306
50~60: Fake Rate0.260883+-0.0343823	 window fake rate 0.111091+-0.0427116
60~80: Fake Rate0.157505+-0.0165477	 window fake rate 0.0458702+-0.0215088
80~120: Fake Rate0.137453+-0.0184268	 window fake rate 0.0351006+-0.0242524
120~400: Fake Rate0.0794823+-0.0187219	 window fake rate 0.00834966+-0.0263049
