25~30: Fake Rate0.555831+-0.0161511	 window fake rate 0.408959+-0.0237907
30~35: Fake Rate0.383822+-0.0164973	 window fake rate 0.219587+-0.0223991
35~40: Fake Rate0.398557+-0.0245541	 window fake rate 0.262963+-0.0319397
40~45: Fake Rate0.330889+-0.0260741	 window fake rate 0.188331+-0.0335778
45~50: Fake Rate0.373961+-0.0375744	 window fake rate 0.235853+-0.048591
50~60: Fake Rate0.356759+-0.0366456	 window fake rate 0.220316+-0.0468826
60~80: Fake Rate0.219156+-0.02141	 window fake rate 0.0529073+-0.0282505
80~120: Fake Rate0.211575+-0.0274143	 window fake rate 0.0437614+-0.0360801
120~400: Fake Rate0.159741+-0.0351474	 window fake rate 0.0181871+-0.0449233
