pt range	chiso range	FakeNumber	fitFake_number	closure uncertainty
20<pt<25	6<chiso range<12	90.92	84.66	0.07
25<pt<30	6<chiso range<12	40.83	40.09	0.02
30<pt<40	6<chiso range<12	35.01	33.89	0.03
40<pt<50	6<chiso range<12	11.44	12.55	0.10
50<pt<65	6<chiso range<12	7.22	6.44	0.11
65<pt<100	6<chiso range<12	7.09	5.45	0.23
100<pt<125	6<chiso range<12	7.09	5.45	0.23
125<pt<400	6<chiso range<12	7.09	5.45	0.23
