pt	closure		sideband	template	total
20~25	0.24		0.09		0.01		0.26
25~30	0.13		0.01		0.02		0.13
30~35	0.01		0.07		0.05		0.09
35~40	0.01		0.05		0.03		0.06
40~50	0.01		0.17		0.05		0.18
50~60	0.14		0.02		-0.03		0.15
60~80	0.12		0.06		0.02		0.13
80~120	0.12		0.35		0.09		0.38
120~400	0.12		0.07		0.09		0.16
