pt range	EWK-ff	ZA-ff	Uncertainty
20<pt<25	0.398293	0.419523	-0.00868112
25<pt<30	0.416141	0.397147	0.0077238
30<pt<35	0.378966	0.362454	0.00612116
35<pt<40	0.251776	0.23735 	0.00352807
40<pt<45	0.255673	0.240806	0.00369058
45<pt<50	0.22103 	0.201619	0.00410202
50<pt<60	0.20285 	0.199729	0.000628225
60<pt<80	0.183837	0.177961	0.00106296
80<pt<120	0.14701 	0.135815	0.00158311
120<pt<400	0.0488166	0.0395282	0.000410291
