pt	closure		sideband	template	total	fakefraction	fakefraction_up	fakefraction_down
20~25	0.01		0.10		0.00		0.10		0.50		0.55		0.45
25~30	0.18		0.04		0.01		0.18		0.48		0.57		0.39
30~35	0.00		0.00		0.02		0.02		0.40		0.40		0.39
35~40	0.00		0.02		0.02		0.03		0.38		0.39		0.37
40~50	0.00		0.00		0.03		0.03		0.27		0.28		0.26
50~65	0.00		0.23		0.01		0.23		0.21		0.26		0.16
65~100	0.00		0.35		0.03		0.35		0.24		0.32		0.15
100~400	0.16		0.02		0.10		0.18		0.25		0.30		0.21
